#TYPE Selected.System.IO.DirectoryInfo
"Name";"CreationTime";"LastWriteTime"
"Pirates of the Caribbean 1 - Curse of the Black Pearl (2003)";"01/07/2021 21:41:01";"11/07/2021 21:06:37"
"Pirates of the Caribbean 2 - Dead Man's Chest (2006)";"01/07/2021 21:50:03";"11/07/2021 21:07:09"
"Pirates of the Caribbean 3 - At Worlds End (2007)";"01/07/2021 21:41:29";"11/07/2021 21:06:07"
"Pirates of the Caribbean 4 - On Stranger Tides (2011)";"01/07/2021 21:41:59";"11/07/2021 21:04:26"
"Pirates of the Caribbean 5 - Dead Men Tell No Tales (2017)";"11/07/2021 21:00:32";"11/07/2021 21:00:42"
"Playing It Cool (2014)";"29/11/2020 15:37:04";"22/12/2020 21:56:52"
"Pretty Woman (1990)";"17/05/2021 18:51:47";"21/05/2021 23:54:30"
"Pride and Prejudice (2005)";"20/11/2021 15:44:53";"25/11/2021 20:47:43"
"Push (2009)";"29/11/2020 21:51:48";"22/12/2020 21:55:14"
"Puss In Boots The Last Wish (2022)";"10/01/2023 00:39:44";"19/01/2023 22:26:43"
"Quatre Garcons Pleins d'Avenir (1997)";"18/09/2022 20:08:10";"21/11/2022 17:53:26"
"Queenpins (2021)";"03/10/2021 21:58:27";"13/12/2021 17:31:49"
"Ratatouille (2007)";"03/01/2021 15:21:25";"17/01/2021 19:57:52"
"Ray Donovan The Movie (2022)";"22/01/2022 18:18:33";"22/03/2022 20:01:11"
"Raya And The Last Dragon (2021)";"09/03/2021 19:25:14";"20/04/2021 12:15:58"
"Real Steel (2011)";"11/07/2021 20:59:50";"17/07/2021 22:17:28"
"RED (2010)";"09/05/2022 00:45:01";"21/05/2022 15:29:38"
"Red 2 (2013)";"09/05/2022 00:47:12";"21/05/2022 15:29:15"
"Red Notice (2021)";"15/11/2021 00:12:44";"25/11/2021 20:46:07"
"Red Sparrow (2018)";"08/02/2023 21:46:20";"26/02/2023 13:03:05"
"Robin Hood (2018)";"08/05/2021 20:34:40";"21/05/2021 23:54:30"
"Rogue Trader (1999)";"12/05/2022 20:53:17";"21/05/2022 15:28:55"
"Rush (2013)";"23/12/2020 21:17:06";"17/01/2021 20:01:15"
"Secretary (2002)";"03/01/2023 18:14:54";"19/01/2023 22:23:39"
"Shang-Chi And The Legend Of The Ten Rings (2021)";"15/11/2021 00:13:45";"25/11/2021 20:45:40"
"She's All That (1999)";"22/04/2021 10:44:01";"25/04/2021 21:14:12"
"She's Out of My League (2010)";"20/05/2022 12:02:01";"21/05/2022 15:27:37"
"Silver Linings Playbook (2012)";"16/01/2022 13:56:58";"27/02/2022 11:09:59"
"Sleeping Beauty (2011)";"20/01/2021 21:54:45";"20/04/2021 12:20:21"
"Sous le Meme Toit (2017)";"08/11/2021 10:49:04";"25/11/2021 20:46:07"
"Squadron 303 (2018)";"07/07/2020 20:11:40";"28/07/2020 20:35:20"
"Star Wars";"28/12/2019 23:04:55";"19/03/2023 03:22:42"
"Stillwater (2021)";"22/03/2022 19:46:07";"22/03/2022 19:54:23"
"Stowaway (2021)";"24/04/2021 14:14:23";"25/04/2021 21:13:16"
"Sucker Punch (2011)";"08/09/2021 12:26:12";"12/09/2021 19:10:47"
"Suicide Squad (2016)";"08/07/2022 23:15:40";"10/07/2022 12:35:36"
"Sully (2016)";"28/02/2023 13:34:35";"12/03/2023 01:58:49"
"Taken 1 (2008)";"17/07/2021 22:18:40";"28/07/2021 21:11:23"
"Taken 2 (2012)";"17/07/2021 22:18:49";"28/07/2021 21:11:23"
"Taken 3 (2014)";"17/07/2021 22:19:34";"28/07/2021 21:12:18"
"Ted (2012)";"14/10/2021 20:02:59";"16/10/2021 11:57:51"
"Ted 2 (2015)";"14/10/2021 20:03:08";"16/10/2021 11:56:54"
"Tenet (2020)";"17/05/2021 20:48:38";"01/07/2021 21:39:45"
"Tenor (2022)";"01/10/2022 20:11:50";"01/10/2022 20:12:12"
"Terminator Dark Fate (2019)";"20/03/2020 15:10:53";"30/06/2020 23:58:21"
"The 2nd (2020)";"30/09/2020 21:02:14";"13/10/2020 01:57:23"
"The A Team (2010)";"06/10/2020 02:38:23";"13/10/2020 01:56:20"
"The Age of Adaline (2015)";"28/11/2020 15:40:33";"30/11/2020 14:38:34"
"The Big Short (2015)";"16/02/2022 04:07:28";"27/02/2022 11:09:59"
"The Boss Baby Family Business (2021)";"05/07/2021 23:20:23";"11/07/2021 21:05:12"
"The Bounty Hunter (2010)";"29/12/2022 11:57:51";"31/12/2022 16:39:42"
"The Card Counter (2021)";"01/10/2021 20:42:59";"13/12/2021 17:32:24"
"The Counselor (2013)";"28/09/2020 08:18:29";"13/10/2020 01:57:45"
"The Departed (2006)";"29/11/2021 20:01:42";"29/11/2021 20:08:46"
"The Duchess (2008)";"20/11/2021 15:44:52";"25/11/2021 20:48:00"
"The DUFF (2015)";"28/11/2020 23:59:20";"30/11/2020 14:37:13"
"The Edge Of Seventeen (2016)";"27/05/2022 18:28:05";"08/07/2022 22:40:54"
"The Equalizer (2014)";"06/11/2021 00:20:33";"07/11/2021 22:58:31"
"The Equalizer 2 (2018)";"06/11/2021 00:20:38";"07/11/2021 22:59:10"
"The First Time (2012)";"28/11/2020 23:58:37";"30/11/2020 14:38:09"
"The Gentlemen (2019)";"25/03/2020 20:30:29";"30/06/2020 23:58:21"
"The Grey (2011)";"02/11/2020 00:52:45";"30/11/2020 14:41:16"
"The Hitman's Bodyguard (2017)";"01/01/2021 20:13:58";"17/01/2021 19:58:45"
"The Hitmans Wifes Bodyguard (2021)";"18/07/2021 12:18:34";"28/07/2021 21:13:51"
"The Hobbit 1 An Unexpected Journey (2012)";"23/02/2019 19:35:15";"23/02/2019 19:36:33"
"The Hunger Games 1 (2012)";"16/04/2022 19:02:49";"18/04/2022 12:40:20"
"The Hunger Games 2 Catching Fire (2013)";"16/04/2022 19:03:06";"18/04/2022 12:40:20"
"The Hunger Games 3 Mockingjay Part 1 (2014)";"16/04/2022 19:03:30";"18/04/2022 12:40:46"
"The Hunger Games 4 Mockingjay Part 2 (2015)";"16/04/2022 19:03:45";"18/04/2022 12:41:23"
"The Hunt for Red October (1990)";"07/07/2020 20:32:29";"13/10/2020 01:53:30"
